Id;Name;Address;Location;Province;Zip_Code;Items;Weight;Node_Type;TW_Start;TW_End;Latitude;Longitude;Email;Phone
0;Depot;Ctra. Nacional 331;Antequera;MALAGA;29200;0;0;DEPOT;0:00;23:59;37,0452693;-4,512310623;depot@depot.com;954678584
1;HOSPITAL UNIVERSITARIO PUERTA DEL MAR;AV. ANA DE VIYA, 21;Cádiz;CÁDIZ;11009;738;88973,28;GENERAL;3:00;23:59;36,5091163;-6,277863885;gerencia.hpm.sspa@juntadeandalucia.es;956002040
2;CLÍNICA LA SALUD;FEDUCHY, 8-14;Cádiz;CÁDIZ;11001;-58;6992,48;GENERAL;3:00;23:59;36,53202404;-6,295845719;administracion@clinicalasalud.es;956225301
3;HOSPITAL SAN RAFAEL;DIEGO ARIAS, 2;Cádiz;CÁDIZ;11002;-280;33756,8;GENERAL;3:00;23:59;36,53279794;-6,302521294;cadiz.secretaria@jmpascual.com;956017267
4;CLÍNICA  LOS ÁLAMOS;AV. DE TAMARIX, 4;Jerez de la Frontera;CÁDIZ;11407;15;1808,4;GENERAL;3:00;23:59;36,70394921;-6,130733679;rrhh@clinicalosalamos.com;956182244
5;HOSPITAL UNIVERSITARIO DE JEREZ DE LA FRONTERA;RONDA DE CIRCUNVALACIÓN, S/N;Jerez de la Frontera;CÁDIZ;11408;498;60038,88;GENERAL;3:00;23:59;36,69139729;-6,149801056;manuel.herrera.sspa@juntadeandalucia.es;956032075
6;HOSPITAL SAN JUAN GRANDE;GLORIETA FÉLIX RODRIGUEZ DE LA FUENTE, S/N;Jerez de la Frontera;CÁDIZ;11408;143;17240,08;GENERAL;3:00;23:59;36,69146752;-6,148778453;jerez@sjd.es;956357300
7;HOSPITAL  DE LA LÍNEA DE LA CONCEPCIÓN;AV. MENÉNDEZ Y PELAYO, 103;Línea de la Concepción, La;CÁDIZ;11300;180;21700,8;GENERAL;3:00;23:59;36,17045125;-5,340636423;franciscoj.martos.sspa@juntadeandalucia.es;956026500
8;HOSPITAL GENERAL SANTA MARÍA DEL PUERTO;VALDÉS, S/N;Puerto de Santa María, El;CÁDIZ;11500;-238;28693,28;GENERAL;3:00;23:59;36,5965943;-6,234097922;stamaria.secretaria@jmpascual.com;956017000
9;HOSPITAL UNIVERSITARIO DE PUERTO REAL;CARRETERA NACIONAL IV, KM. 665;Puerto Real;CÁDIZ;11510;319;38458,64;GENERAL;3:00;23:59;36,52038454;-6,151459495;;956005147
10;HOSPITAL VIRGEN DE LAS MONTAÑAS;AV. AMBULATORIO S/N;Villamartín;CÁDIZ;11650;108;13020,48;GENERAL;3:00;23:59;36,860715;-5,648152446;cesar@jmpascual.com;956041000
11;HOSPITAL VIRGEN DEL CAMINO;CRTRA SANLÚCAR-CHIPIONA, S/N;Sanlúcar de Barrameda;CÁDIZ;11540;-118;14226,08;GENERAL;3:00;23:59;36,75752112;-6,370577707;sanlucar.secretaria@jmpascual.com;956048068
12;HOSPITAL JEREZ PUERTA DEL SUR;AV. PUERTA DEL SUR, S/N;Jerez de la Frontera;CÁDIZ;11408;98;11814,88;GENERAL;3:00;23:59;36,668718;-6,136261676;rrhhcj@asisa.es;956357100
13;HOSPITAL VIAMED BAHÍA DE CÁDIZ;AYALA, 2;Chiclana de la Frontera;CÁDIZ;11130;46;5545,76;GENERAL;3:00;23:59;36,42042587;-6,150524971;gerencia@hospitalcmc.es;956533333
14;HOSPITAL PUNTA DE EUROPA;CARRETERA DE GETARES, S/N;Algeciras;CÁDIZ;11207;327;39423,12;GENERAL;3:00;23:59;36,1111021;-5,444244656;;956025000
15;HOSPITAL VIAMED NOVO SANCTI PETRI;URB. NOVO SANCTI PETRI, S/N;Chiclana de la Frontera;CÁDIZ;11130;37;4460,72;GENERAL;3:00;23:59;36,35608;-6,158834;gerente@clinicanovo.es;956495000
16;CLÍNICA SERMAN - INSTITUTO MÉDICO;Pº DE LA ROSALEDA, 40;Jerez de la Frontera;CÁDIZ;11405;41;4942,96;GENERAL;3:00;23:59;36,69294101;-6,124077775;jefeadministracion@clinicaserman.com;956301211
17;HOSPITAL QUIRÓN CAMPO DE GIBRALTAR;"PARQUE EMPRESARIAL ""LAS MARISMAS DE PALMONES"", EDIFICIO ARTTYSUR";Barrios, Los;CÁDIZ;11379;64;7715,84;GENERAL;3:00;23:59;36,20700028;-5,45302;;956798301
18;HOSPITAL DE LA LÍNEA DE LA CONCEPCIÓN;RONDA NORTE, ESQ. C/ GABRIEL MIRÓ;Línea de la Concepción, La;CÁDIZ;11300;243;29296,08;GENERAL;3:00;23:59;36,174555;-5,3523225;jesus.ros.sspa@juntadeandalucia.es;956026500
19;HOSPITAL UNIVERSITARIO REINA SOFÍA;AV. MENÉNDEZ PIDAL, S/N;Córdoba;CÓRDOBA;14004;-1233;148650,48;GENERAL;3:00;23:59;37,86843905;-4,797169223;gerencia.hrs.sspa@juntadeandalucia.es;957010380
20;HOSPITAL DE LA CRUZ ROJA DE CÓRDOBA;Pº DE LA VICTORIA, S/N;Córdoba;CÓRDOBA;14004;138;16637,28;GENERAL;3:00;23:59;37,88119998;-4,785049163;;957420666
21;HOSPITAL SAN JUAN DE DIOS DE CÓRDOBA;AV. DEL BRILLANTE, 106;Córdoba;CÓRDOBA;14012;-189;22785,84;GENERAL;3:00;23:59;37,90858341;-4,793314563;cordoba.hospital@sjd.es;957274600
22;HOSPITAL INFANTA MARGARITA;AV. DE GÓNGORA, S/N;Cabra;CÓRDOBA;14940;-232;27969,92;GENERAL;3:00;23:59;37,47180488;-4,427863645;;957021300
23;HOSPITAL VALLE DE LOS PEDROCHES;C/ JUAN DEL REY CALERO, S/N;Pozoblanco;CÓRDOBA;14400;124;14949,44;GENERAL;3:00;23:59;38,38349192;-4,849125757;;957026306
24;HOSPITAL DE MONTILLA;CRTRA. MONTORO-PUENTE GENIL, KM 65,350;Montilla;CÓRDOBA;14550;92;11091,52;GENERAL;3:00;23:59;37,5644077;-4,648104552;;957022600
25;HOSPITAL LA ARRUZAFA-INSTITUTO DE OFTALMOLOGÍA;AV. DE LA ARRUZAFA, 9;Córdoba;CÓRDOBA;14012;4;482,24;OFTÁLMICO U ORL;3:00;23:59;37,90452561;-4,793113792;rab@hospitalarruzafa.com;957767610
26;HOSPITAL DE ALTA RESOLUCIÓN DE PUENTE GENIL;C/ BURGOS, S/N;Puente Genil;CÓRDOBA;14500;24;2893,44;GENERAL;3:00;23:59;37,39941557;-4,751205542;;957615000
27;HOSPITAL DE ALTA RESOLUCIÓN VALLE DEL GUADIATO;PARAJE CERRO DEL CAMELLO, S/N;Peñarroya-Pueblonuevo;CÓRDOBA;14200;-17;2049,52;GENERAL;3:00;23:59;38,30851158;-5,270805023;;957579100
28;HOSPITAL QUIRONSALUD CÓRDOBA;AVDA. AEROPUERTO, 17;Córdoba;CÓRDOBA;14004;115;13864,4;GENERAL;3:00;23:59;37,87596823;-4,795830516;info.cor@quironsalud.es;957410000
29;HOSPITAL INFANTA ELENA;DR. PEDRO NARANJO RODRÍGUEZ, S/N;Huelva;HUELVA;21080;-304;36650,24;GENERAL;3:00;23:59;37,280045;-6,912472;direccion.hie.sspa@juntadeandalucia.es;959015132
30;HOSPITAL BLANCA PALOMA;AVDA. DIEGO MORÓN, 3;Huelva;HUELVA;21005;203;24473,68;GENERAL;3:00;23:59;37,27997505;-6,939874041;huelva.secretaria@jmpascual.com;959012100
