Vehicle;Total Nodes;Remaining Capacity;Available Capacity;Remaining KM;Available KM
1;7;4796;204;18,24289888994515;781,7571011100548
2;11;4060;940;1,1649141183404268;798,8350858816596
3;8;4526;474;5,589054756278344;794,4109452437217
4;6;4768;232;0,5145613534383244;799,4854386465616
5;16;2099;2901;1,29105064128386;798,7089493587162
6;5;4733;267;11,140703091616928;788,859296908383
7;7;4491;509;3,0926604404446465;796,9073395595553
8;5;4555;445;0,7223242046911906;799,2776757953088
9;10;3543;1457;30,26888775092955;769,7311122490704
10;7;3615;1385;7,794782732121938;792,2052172678781
11;7;2360;2640;5,03584841775708;794,964151582243
12;9;3260;1740;14,66822494366464;785,3317750563353
13;5;3082;1918;0,1440161340911459;799,8559838659089
14;4;4562;438;9,33961210982443;790,6603878901756
15;5;3696;1304;25,511292894588507;774,4887071054115
16;5;2367;2633;3,489414159818807;796,5105858401812
17;4;2292;2708;236,29741948348345;563,7025805165165
18;1;4237;763;429,8413364772707;370,1586635227293
19;0;5000;0;800,0;0,0
20;0;5000;0;800,0;0,0
